Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
542058,,NXXXIX09X,NIPPON INDIA MUTUAL FUND  FIXED HORI FD  XXXIX SR 9DR DVP10MY22,Active,F ,10.00,INF204KB1K95, ,MF
542059,,NXXXIX09Z,NIPPON INDIA MUTUAL FUND  FIXED HORI FD  XXXIX SR 9DR GWTH10MY22,Active,F ,10.00,INF204KB1K87, ,MF
542060,,NXXXIX09D,NIPPON INDIA MUTUAL FUND  FIXED HORI FD  XXXIX SR 9RG DVP10MY22,Active,F ,10.00,INF204KB1K79, ,MF
542061,,NXXXIX09G,NIPPON INDIA MUTUAL FUND  FIXED HORI FD  XXXIX SR 9RG GWTH10MY22,Active,F ,10.00,INF204KB1K61, ,MF
542062,,T56DA,TATA Fixed Maturity Plan Series 56 Scheme D - Regular Plan - Dividend Payout Option,Active,F ,10.00,INF277K014P2, ,MF
542063,,T56DC,TATA Fixed Maturity Plan Series 56 Scheme D - Direct Plan - Dividend Payout Option,Active,F ,10.00,INF277K016P7, ,MF
542064,,T56DB,TATA Fixed Maturity Plan Series 56 Scheme D - Regular Plan - Growth Option,Active,F ,10.00,INF277K013P4, ,MF
542065,,T56DD,TATA Fixed Maturity Plan Series 56 Scheme D - Direct Plan - Growth Option,Active,F ,10.00,INF277K015P9, ,MF
542066,,ADANIGAS,Adani Gas Ltd,Active,A ,1.00,INE399L01023,Integrated Oil & Gas,Equity
542067,,NXXXIX11X,NIPPON INDIA MUTUAL FUND  FIXED HORI FD  XXXIX SR 11DR DVP30MY22,Active,F ,10.00,INF204KB1L78, ,MF
542068,,NXXXIX11Z,NIPPON INDIA MUTUAL FUND  FIXEDHORI FD XXXIX SR 11DR GWTH30MY22,Active,F ,10.00,INF204KB1L60, ,MF
542069,,NXXXIX11D,NIPPON INDIA MUTUAL FUND  FIXED HORI FD  XXXIX SR 11RG DVP30MY22,Active,F ,10.00,INF204KB1L52, ,MF
542070,,NXXXIX11G,NIPPON INDIA MUTUAL FUND  FIXED HORI FD  XXXIX SR 11RG GWTH30MY22,Active,F ,10.00,INF204KB1L45, ,MF
542071,,H1344D43DG,HDFC FMP 1344D October 2018 (1) - Series 43 - Direct Option - Growth Option,Active,F ,10.00,INF179KB19S4, ,MF
542072,,H1344D43DD,HDFC FMP 1344D October 2018 (1) - Series 43 - Direct Option - Normal Dividend Option,Active,F ,10.00,INF179KB10T1, ,MF
542073,,H1344D43DQ,HDFC FMP 1344D October 2018 (1) - Series 43 - Direct Option - Quarterly Dividend Option,Active,F ,10.00,INF179KB11T9, ,MF
542074,,H1344D43RG,HDFC FMP 1344D October 2018 (1) - Series 43 - Regular Option - Growth Option,Active,F ,10.00,INF179KB12T7, ,MF
542075,,H1344D43RD,HDFC FMP 1344D October 2018 (1) - Series 43 - Regular Option - Normal Dividend Option,Active,F ,10.00,INF179KB13T5, ,MF
542076,,IPRU3205,ICICI Prudential FMP Series 84 - 1287 Days Plan I - Cumulative Option,Active,F ,10.00,INF109KC1MI8, ,MF
